x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.4 2 2
2.25164 1.81904 -0.407148 -0.725671 1.50049 -0.609105 0.4 2 2
2.18339 1.81765 -0.581881 0.0865796 -1.48795 -0.223691 0.398951 2.18339 1.81765
1.91539 2.28276 -1.10773 0.149406 -0.361581 -0.755392 0.398951 2.18339 1.81765
1.97484 2.42536 0.513308 -0.0828836 -0.777689 -1.1413 0.397494 1.97484 2.42536
1.73762 2.59351 0.541832 0.747481 0.669252 0.0217093 0.397494 1.97484 2.42536
2.00375 2.62821 0.0334229 -0.589571 1.21381 -0.575209 0.395783 2.00375 2.62821
1.91896 2.07137 0.0875874 -0.565771 -1.63555 0.108627 0.395783 2.00375 2.62821
2.0496 1.4955 1.10567 -0.458135 -0.0823281 -1.2914 0.39419 2.0496 1.4955
2.33057 1.53342 0.446834 0.776388 -0.455739 0.715366 0.39419 2.0496 1.4955
1.91833 2.07666 -0.0361358 0.786016 -0.606684 -0.078971 0.393671 1.91833 2.07666
2.16214 2.5681 0.708553 0.86003 1.19802 2.90815 0.393671 1.91833 2.07666
1.97694 2.15901 -0.768011 -0.482141 -0.00130213 -0.712215 0.391424 1.97694 2.15901
1.47871 2.23665 0.550453 0.639273 1.16546 -0.771974 0.391424 1.97694 2.15901
1.87166 3.00343 -0.926855 0.216426 1.21285 2.1946 0.39169 1.87166 3.00343
1.24868 2.39908 0.312348 -1.04486 -0.411389 1.3032 0.39169 1.87166 3.00343
2.42345 1.72971 2.17541 -0.181214 1.98959 0.525555 0.39825 2.42345 1.72971
2.32688 1.99842 -1.17755 -0.23363 -2.26778 1.93284 0.39825 2.42345 1.72971
1.51603 2.23661 0.467923 1.00193 1.04049 0.47902 0.399028 1.51603 2.23661
1.90723 2.65415 -0.32227 -0.273825 -0.80559 -1.48481 0.399028 1.51603 2.23661
1.66118 1.6459 0.474342 -1.56961 0.500524 0.142187 0.395258 1.66118 1.6459
2.57111 0.558341 0.277196 0.590602 -0.204949 -1.01957 0.395258 1.66118 1.6459
1.88476 1.18341 -0.33194 0.408867 -0.139551 -0.374769 0.388694 1.88476 1.18341
2.56411 2.27076 0.414281 1.31248 -0.317622 0.20538 0.388694 1.88476 1.18341
1.11118 2.2925 -1.21274 -0.0753264 1.0162 0.538168 0.399755 1.11118 2.2925
1.35519 2.65459 1.03984 -0.320298 0.430247 -2.51653 0.399755 1.11118 2.2925
2.3072 2.22479 0.620077 -0.560616 -0.676785 1.79362 0.394336 2.3072 2.22479
2.76511 1.19105 -0.170546 -1.19933 0.812652 0.108395 0.394336 2.3072 2.22479
2.15702 0.873107 0.309309 0.503521 1.16875 0.443645 0.388878 2.15702 0.873107
2.39318 1.36217 -0.22104 0.450376 -0.414168 2.17401 0.388878 2.15702 0.873107
2.02623 1.54255 -0.689205 0.442568 -1.65591 0.814964 0.385167 2.02623 1.54255
1.34058 2.33564 0.000535294 1.3385 0.745049 -1.15076 0.385167 2.02623 1.54255
1.90632 2.9989 -1.26751 0.326495 -1.44673 0.423083 0.384748 1.90632 2.9989
1.09806 2.8137 0.0665542 0.0240736 0.755415 -0.87536 0.384748 1.90632 2.9989
1.75216 2.59109 0.479506 0.120698 0.428261 -0.510998 0.388455 1.75216 2.59109
1.75051 1.44 -0.200304 -0.922343 1.04582 -0.163203 0.388455 1.75216 2.59109
2.38608 1.99558 1.06545 0.626583 2.39926 -0.043518 0.393366 2.38608 1.99558
2.65595 1.86575 -1.48033 -1.09786 -0.320953 0.0482601 0.393366 2.38608 1.99558
2.66533 1.14015 1.00387 -0.301642 -0.494502 -1.21354 0.398129 2.66533 1.14015
2.38451 1.4021 -1.18928 0.0765954 -0.445587 -0.45269 0.398129 2.66533 1.14015
2.6119 1.54584 0.111745 0.652203 -0.487109 0.0514103 0.395747 2.6119 1.54584
2.14374 2.12229 -0.770203 -0.155372 -1.63347 -0.349675 0.395747 2.6119 1.54584
1.2304 1.99199 -0.360709 0.0166481 1.32634 1.47661 0.397852 1.2304 1.99199
1.16028 2.44449 0.801277 0.213211 -0.331764 1.91971 0.397852 1.2304 1.99199
1.45275 2.82221 0.306142 0.453036 1.17341 0.235616 0.395084 1.45275 2.82221
1.17085 2.81099 -1.70545 -0.00102614 -0.572596 -0.001039 0.395084 1.45275 2.82221
1.31802 2.1563 0.843063 -0.996796 -0.715525 0.071002 0.394776 1.31802 2.1563
2.50692 1.91025 0.202733 -0.26462 -0.132287 -1.12477 0.394776 1.31802 2.1563
2.41291 1.49949 -1.15211 -1.22189 -1.8297 -1.04417 0.390939 2.41291 1.49949
1.776 1.02407 0.563957 0.504239 0.971658 -1.05175 0.390939 2.41291 1.49949
2.73131 1.0958 1.07573 -0.205688 1.14471 -1.86179 0.395664 2.73131 1.0958
2.53699 0.794349 -1.51866 -0.253693 0.600407 -1.32388 0.395664 2.73131 1.0958
2.12906 1.34889 0.847417 0.836409 -0.475154 0.148567 0.382987 2.12906 1.34889
2.60041 1.57929 -1.03959 -0.526177 -0.0409873 0.685897 0.382987 2.12906 1.34889
2.55017 1.47431 -0.50458 0.0957697 0.164132 -0.382932 0.390817 2.55017 1.47431
2.25191 1.64056 -0.380637 0.493634 0.577189 0.0172579 0.390817 2.55017 1.47431
1.79578 2.33071 -0.121793 -0.451041 -0.016772 -0.325235 0.384441 1.79578 2.33071
2.19118 1.80563 0.610675 -0.507083 -0.887238 -1.35515 0.384441 1.79578 2.33071
2.2278 1.36248 -0.714317 -0.568153 0.586814 -0.487099 0.383525 2.2278 1.36248
1.6983 1.87513 0.684266 1.07243 -0.0346853 0.940209 0.383525 2.2278 1.36248
