x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.8 2 2
2.46331 2.19512 0.0247192 0.270834 -0.0213734 0.427858 0.8 2 2
2.12156 2.24086 -0.766582 -0.770764 -0.841779 -1.83341 0.773834 2.12156 2.24086
1.5666 1.57389 0.318434 -0.183726 1.70129 -0.367126 0.773834 2.12156 2.24086
1.68909 1.58282 -0.96516 0.256271 -0.904718 -0.696984 0.787551 1.68909 1.58282
1.65199 2.10102 1.45501 0.209311 -0.574543 -0.0346248 0.787551 1.68909 1.58282
2.47933 2.37885 0.942453 -0.909341 1.76782 -1.8528 0.791968 2.47933 2.37885
2.75372 2.24681 -0.0453513 0.272035 0.446956 -0.810901 0.791968 2.47933 2.37885
1.88662 2.51954 -0.742123 0.294679 1.14407 -0.887774 0.739869 1.88662 2.51954
1.63943 1.35599 -0.304424 -0.845515 -0.27514 1.14944 0.739869 1.88662 2.51954
1.4642 1.2794 -0.0904197 0.105395 -0.618924 0.404369 0.779327 1.4642 1.2794
2.14576 1.72312 -0.880007 -0.0156854 -0.753853 1.44753 0.779327 1.4642 1.2794
1.64916 2.05205 0.272424 0.974082 0.520524 1.22039 0.728764 1.64916 2.05205
2.10821 2.70714 1.10154 0.470916 0.0670802 0.675874 0.728764 1.64916 2.05205
2.69946 2.54694 0.0866005 -0.691633 -0.633482 -0.904901 0.782357 2.69946 2.54694
2.28806 1.7753 -0.650866 -0.3158 -0.590615 0.46563 0.782357 2.69946 2.54694
1.5494 0.988517 -1.06862 -0.417409 0.104882 0.958219 0.715699 1.5494 0.988517
0.764814 1.00535 0.493882 0.380644 -0.491853 0.562004 0.715699 1.5494 0.988517
1.81016 1.43542 1.33191 0.000599576 0.619825 0.0910979 0.685335 1.81016 1.43542
2.21124 1.72478 -1.08492 0.829045 1.82259 0.374601 0.685335 1.81016 1.43542
1.33343 2.06883 -0.478524 -0.119788 -0.87499 -1.44385 0.743678 1.33343 2.06883
0.880345 1.1108 0.462914 -0.548603 -0.364571 -0.609699 0.743678 1.33343 2.06883
1.59441 1.09464 -0.636011 0.590122 -1.28281 1.57949 0.661052 1.59441 1.09464
1.23893 0.706751 0.801414 -1.07955 -0.357179 0.623651 0.661052 1.59441 1.09464
1.75415 -0.56169 -0.23123 -2.07099 0.860497 -0.436656 0.641588 1.75415 -0.56169
1.77874 -2.36211 0.987075 -0.964018 2.5408 -0.827121 0.641588 1.75415 -0.56169
2.20376 -2.50872 -0.83567 0.429741 0.00774718 -0.646763 0.725843 2.20376 -2.50872
1.3163 -2.49312 0.236368 0.541723 -0.801275 -1.20889 0.725843 2.20376 -2.50872
2.06297 -1.86658 0.802292 0.645202 1.91784 0.401491 0.672535 2.06297 -1.86658
