x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1 0 0 0 0 0 0.1 1 0
0.912878 0.045495 -0.54089 -0.220586 -0.653035 -0.536882 0.1 1 0
0.909468 -0.0304559 0.444881 0.26895 -1.71139 0.0222844 0.0935777 0.909468 -0.0304559
1.12131 0.0417746 -0.225099 -0.105197 0.310555 0.285884 0.0935777 0.909468 -0.0304559
1.17097 -0.0396541 0.247254 0.358414 -0.762734 -0.0397974 0.0974092 1.17097 -0.0396541
1.01569 0.231914 -0.189065 0.265701 1.46629 -0.317763 0.0974092 1.17097 -0.0396541
0.914767 0.313104 -0.0374592 0.0258817 1.79371 -0.194215 0.0846499 0.914767 0.313104
1.1529 -0.0207998 0.438899 -0.601571 -0.473695 0.0291815 0.0846499 0.914767 0.313104
0.93756 -0.0424894 -0.523281 0.436561 1.13959 -0.304087 0.0770192 0.93756 -0.0424894
0.714727 0.190559 -0.104442 0.165594 -0.17581 -1.03126 0.0770192 0.93756 -0.0424894
0.665251 0.192695 -0.0730864 0.0159892 -0.242495 0.50207 0.0989291 0.665251 0.192695
0.923854 0.0330383 0.204691 -0.559538 -1.3676 -1.10205 0.0989291 0.665251 0.192695
0.944644 -0.130297 0.118289 0.499566 0.174209 -1.51325 0.0711019 0.944644 -0.130297
1.17382 -0.0771439 -0.385171 0.304245 0.618294 0.378074 0.0711019 0.944644 -0.130297
1.25735 0.325173 -0.0170542 0.419261 0.834996 -0.647142 0.0930361 1.25735 0.325173
1.10478 0.20662 0.408118 -0.561444 0.300935 -1.34791 0.0930361 1.25735 0.325173
1.05736 -0.224428 -0.492462 -0.324165 -0.0125146 -0.609335 0.0751424 1.05736 -0.224428
1.15566 -0.154305 -0.109816 0.558543 1.16235 0.0247866 0.0751424 1.05736 -0.224428
0.689362 0.234239 -0.792123 -0.336098 -1.20154 0.592719 0.0888489 0.689362 0.234239
0.454591 -0.107687 -0.0129739 -0.240664 -0.74571 1.14391 0.0888489 0.689362 0.234239
0.862495 -0.0755901 0.5161 -0.123392 -0.652879 -1.59597 0.0703655 0.862495 -0.0755901
1.23494 -0.055276 -0.0180559 0.112675 -1.21483 -0.275835 0.0703655 0.862495 -0.0755901
1.13813 -0.151714 0.429562 -0.00968153 0.525973 1.26507 0.076536 1.13813 -0.151714
0.996258 -0.0706764 -0.108186 0.0707969 0.344724 -1.14334 0.076536 1.13813 -0.151714
0.833193 -0.0513169 -0.347572 0.120452 1.10363 1.00883 0.0691627 0.833193 -0.0513169
0.444762 0.121304 -0.220035 0.443158 0.541857 -0.268366 0.0691627 0.833193 -0.0513169
0.663678 0.0624475 0.580927 -0.668147 -0.54362 -0.847198 0.0800257 0.663678 0.0624475
0.854231 -0.227645 0.351941 -0.0278018 1.24138 -0.323741 0.0800257 0.663678 0.0624475
1.19638 0.0472291 0.835609 0.0207082 -1.83579 1.34246 0.0749402 1.19638 0.0472291
1.03686 0.0242734 -0.333296 -0.0440095 1.41624 1.62198 0.0749402 1.19638 0.0472291
1.16268 -0.0696442 -0.168181 0.317068 2.15521 1.63997 0.0675124 1.16268 -0.0696442
1.30125 0.286996 -0.232513 0.0209422 0.0481125 -0.419831 0.0675124 1.16268 -0.0696442
0.797399 0.146606 -0.616657 -0.100925 1.21886 1.55486 0.0665914 0.797399 0.146606
0.545702 0.0249485 0.0941679 0.054769 -0.704723 -0.333125 0.0665914 0.797399 0.146606
0.54063 -0.156 0.174426 -0.400052 -0.266822 0.42805 0.0890037 0.54063 -0.156
0.479673 -0.33865 -0.139407 0.138898 -2.37598 -0.906362 0.0890037 0.54063 -0.156
0.411324 -0.195169 0.299545 0.033027 -1.39307 0.618499 0.0953379 0.411324 -0.195169
0.905071 0.0363687 0.378236 0.155234 -0.414048 -0.825581 0.0953379 0.411324 -0.195169
1.07778 0.133472 -0.355737 -0.157932 1.53079 0.347439 0.0611315 1.07778 0.133472
0.676143 0.0916257 -0.134654 -0.155248 1.6149 -0.794088 0.0611315 1.07778 0.133472
0.646362 0.152711 0.0660379 0.0579645 -1.47308 1.89951 0.069663 0.646362 0.152711
0.917343 0.266966 0.522869 -0.0501058 -0.637312 -1.19962 0.069663 0.646362 0.152711
1.11224 0.0676061 -0.0905253 -0.0531401 -0.980327 0.213213 0.0583186 1.11224 0.0676061
0.716111 -0.266752 0.0509218 -0.170711 -0.01047 0.613495 0.0583186 1.11224 0.0676061
0.839678 -0.118945 -0.275616 -0.0905597 -1.01368 -0.165855 0.0579854 0.839678 -0.118945
0.81366 0.0883882 -0.0289345 -0.0105003 -0.292661 -0.530252 0.0579854 0.839678 -0.118945
0.943089 -0.00452365 0.399771 0.0755284 -0.0638675 -0.589995 0.0515411 0.943089 -0.00452365
1.30847 0.0840957 0.004291 -0.11024 0.0384064 0.517316 0.0515411 0.943089 -0.00452365
0.9581 -0.0961291 -0.584774 -0.0912341 -0.376668 -3.01135 0.0491694 0.9581 -0.0961291
0.754768 -0.170285 0.342373 0.138347 0.460047 -0.708499 0.0491694 0.9581 -0.0961291
0.918457 -0.0511204 0.379409 -0.0903454 0.0674421 -0.616532 0.0468449 0.918457 -0.0511204
1.04519 -0.202836 -0.197814 -0.118746 0.271137 -1.30499 0.0468449 0.918457 -0.0511204
1.00116 -0.0489351 0.413358 0.390363 1.26434 -0.0620166 0.046702 1.00116 -0.0489351
1.28575 -0.129916 -0.096166 -0.0695183 -0.524102 -1.09375 0.046702 1.00116 -0.0489351
1.13159 0.024056 0.269758 0.278092 -0.154483 0.88271 0.0531882 1.13159 0.024056
0.998597 0.133056 0.0573626 0.147419 -1.08357 2.35512 0.0531882 1.13159 0.024056
1.13823 0.0314463 0.310554 -0.228755 -0.357072 -0.539086 0.0509463 1.13823 0.0314463
1.14853 0.0413564 -0.36173 0.00156389 0.334494 -0.339513 0.0509463 1.13823 0.0314463
1.10711 -0.0718394 -0.118285 -0.197445 1.52042 -0.566546 0.0464987 1.10711 -0.0718394
0.855884 0.00299637 -0.520223 0.625923 -0.236852 -0.112225 0.0464987 1.10711 -0.0718394
